"url","text"
"https://www.facebook.com/UniversityofAmsterdam/posts/pfbid0363hUYLrgLUA8qy6VS3Hz54yedxo541iiwm6VmzwuCD3MxYLisd3wgFqDvAZzodEil","We know that the Canvas data hack is causing a lot of inconvenience towards the end of this block. Having to switch off Canvas requires a great deal of flexibility from both students and lecturers. We will, of course, do everything we can to return to normal as soon as possible! You can find the latest updates via the link in bio."
"https://www.facebook.com/reel/803137855952655/","Vintage UvA just hits different 📚 Copyright pictures: Stadsarchief Amsterdam. #uva #90sthrowback #amsterdam"
"https://www.facebook.com/reel/1360042619509651/","Simba studies at the Economics faculty at the UvA. In this video, he opens up about his search for friendship and love, and what it’s like to navigate dating in Amsterdam.

This video is part of a portrait series in which students share their stories about friendship and connection — life as it really is, in the middle of the city. Made in collaboration with @tomsieplomsie, who tells real stories about real people."
"https://www.facebook.com/reel/1702704097528110/","Amsterdam appreciation post 🫶"
"https://www.facebook.com/UniversityofAmsterdam/posts/pfbid0892rLiXWnCKmRwreX69yWgo8GZV2fgZk71k6U6sFC5cKW3Y1b5UVhyFuZVakybnWl","Celebrate Liberation Day with us at the Allard Pierson 🕊️
 
Join us for a freedom lunch centred around connection, storytelling, and creativity. Pick up a can of freedom soup to take home, or take a seat at the table to share stories, listen to poetry, and take part in an embroidery workshop.
 
Featuring a poetry reading by Bernice Vreedzaam – who will write a poem especially for this occasion, – a lunch talk on Surinamica, and a collective embroidery workshop by Suelae Robinson, where we will create a patchwork reflecting on freedom and resistance.
 
🕊  Programme
11.00 – 16.00: Freedom soup pick-up point and space to gather and share a meal
12.00 – 12.15: Poetry reading by Bernice Vreedzaam
13.00 – 13.30: Lunch talk by Isabelle Best, curator of the Surinamica collection
14.00 – 15.00: Stitching Freedom: A Collective Patchwork Workshop Inspired by Maroon Resistance, by Suelae Robinson
 
📅 Tuesday, 5 May 2026
🕒 11.00 – 16.00
📍 Allard Pierson (Oude Turfmarkt 129)
🎟️ Free, walk-in"
"https://www.facebook.com/reel/1380220260533545/","By the way, if you’re looking for support in your thesis writing process - because of stress or motivation problems for example - there are a number of sources you can turn to for help. Check the link in bio for more info!"
"https://www.facebook.com/reel/1225510652785796/","🤝 How do you stand up for each other at uni? From offering a listening ear to trying to provide the circumstances for a respectful dialogue, these students share ways to help each other when confrontations or conflicts occur. 

Feeling welcome and respected is important for all of us. Want to know more about what you can do or where to turn if you experience undesirable behavior? Check out the page in the link in bio for support and advice."
"https://www.facebook.com/reel/1444633463529853/","Who should win the UvA Education Awards? ⭐️

Nominate your favorite lecturers, course, project or teaching team now via the link in bio!"
"https://www.facebook.com/reel/1676368470378291/","Emma & Lelli 

Emma studies Anthropology and Cultural Sociology at the University of Amsterdam. Her best friend Lelli visited her earlier this spring. In this video they share how they met & what their friendship means to them. 

The video is part of a portrait series in which students share stories about friendships and relationships. The series is made in collaboration with @tomsieplomsie, a creator that shares real stories about real people. The next video will be published later this week. 

📹 @tomsieplomsie"
"https://www.facebook.com/reel/1347477360640858/","Moeten influencers altijd lachen om succesvol te zijn? Volgens promotieonderzoek van Siyi Gu niet. 

3 andere factoren zijn belangrijker: gepaste emotie, het moet echt voelen en het moet aansluiten bij hoe de volgers zich voelen. 

#influencer #emoji #universityofamsterdam #onderzoek #marketing"
"https://www.facebook.com/reel/2733976330272182/","By taking part in the Student Well-being survey, you can share what is going well and what our uni can improve, so that everyone feels at home at the UvA. 

You can also win a prize by taking part in the Survey: 
⭐️ 1x Museum Pass (valid for one year)
⭐️ 1x ARTIS membership (valid for one year).
⭐️ 2x Cineville pass (valid for six months). The best part about the Cineville pass is that you can share it -you’ll win a pass for yourself and you may give one away to a fellow student.

➡️ How to find the Student Well-being survey? You’ll have received an email from Qualtrics, the UvA’s survey tool, on 14 April. Completing the survey takes 10 minutes and you can do so until 26 April."
"https://www.facebook.com/reel/4175540076040429/","Stress… we’ve all been there! Assistant Professor Lara Solms breaks down what causes work stress and how to structure your workday for more focus and balance. 💡

Sometimes small changes make the biggest difference. Watch and find what works for you. 👇

#workstress #productivity #mentalhealth #timemanagement"
"https://www.facebook.com/reel/966074839253033/","Nederland: land van orde, regeltjes, hoge belastingen én onvrijheid. Tenminste, volgens de mensen die we volgen in de serie Wakker in Paraguay. In deze aflevering van Net Echt bespreken we de serie samen met UvA-wetenschappers Nanke Verloo en Jarom Harambam. Hoe kunnen we de mix van wantrouwen, angst, verlangen naar vrijheid en heel gewone dromen ontrafelen? En hoe blijf je in gesprek met mensen die in een totaal ander narratief leven dan jij? 

Luister deze nieuwe aflevering van Net Echt via de link in bio 🔗"
"https://www.facebook.com/UniversityofAmsterdam/posts/pfbid02LZVSfjFfe899A89Tw1MvnuGxjMTmikHS1qrRB2Us3DAEiA6PGieUResTASSJpyLfl","😍🌷 

📸 @shotstookbyluca"
"https://www.facebook.com/reel/1628360621718900/","From Amsterdam Central Station to the UvA Roeterseiland campus in one ride.🇳🇱

Canal views, tram tracks, and a very typical Dutch tour. #universityofamsterdam #amsterdam #biking #tour #universiteitvanamsterdam"
"https://www.facebook.com/UniversityofAmsterdam/posts/pfbid0oZM4noYS31Wh9agphFS3yxP5uMUKCadQTvmY9KcFmgRoUgDeXsnKcffjPV3FboHGl","🔶 The Princess of Orange Amalia began the Bachelor’s program in Politics, Psychology, Law and Economics in 2022 @pplecollege, her thesis focused on the tension between AI legislation and human rights. Since 2025, she has been pursuing a Bachelor’s degree in Dutch Law, also at our university 🎓. This visit to Amsterdam Science Park & ​​UvA Faculty of Science was part of an introductory visit to Amsterdam at the invitation of the Mayor @burgemeesterfemkehalsema."
"https://www.facebook.com/UniversityofAmsterdam/posts/pfbid02UFiuNbTh7uN88N84eXTH7NNaryBk46bBy78y5maGZ4eq47qvfMtmBYqv5CUCjhbBl","Congrats to all our recent graduates! 🎓🎉 You did it, we’re so proud of you 👏 

Tag a friend who also deserves a shout out for graduating from the UvA this spring 🫶"
"https://www.facebook.com/UniversityofAmsterdam/posts/pfbid0PRP8cobVGKQgyTFHrvX58KrnSdX1KPH791guL5sbKxT3gT2BDzN2BoxgdAbmvTgDl","✨ your minor is written in the stars ✨
check which minor suits you according to your birth month
more info on uva.nl/minors (link in bio and story)
registrations are open till 6 may, 17.00
 
Tag a friend who needs to hear this. Share if your minor found you before you found it 🔮"
"https://www.facebook.com/reel/3913786862255971/","Het is Wereld Quantum dag! 🧠🔐
In deze aflevering van Net Echt duiken we in The Imitation Game en het verhaal van Alan Turing, de man die met een geheimzinnige machine de Enigma-code kraakte en mogelijk de Tweede Wereldoorlog verkortte.

Samen met historicus Samuël Kruizinga en quantum-expert Koen Groenland vragen we ons af:
👉 Hoe waar is dit verhaal eigenlijk?
👉 En wat zegt het over hoe we vandaag kijken naar technologie, oorlog en waarheid? 

Volledige aflevering is te vinden in de bio.

#wereldquantumdag #quantum #geschiedenis #netecht #podcast"
"https://www.facebook.com/UniversityofAmsterdam/posts/pfbid0yEMnFuch556G428aBPp5Qzkb68QrKQ4E394uZgJAQawrkQAuLKscojffZX2hqEpvl","🌷 It’s tulip season!"
"https://www.facebook.com/UniversityofAmsterdam/posts/pfbid0ZiDSD9aiy1idM89hugkT7ZL59w2DTLfkmwz1e1GZSeLKDXXXkC2mtMyh3ZFiScq5l","🌷 it’s tulip season!"
"https://www.facebook.com/reel/2370505260088549/","A day in the life of Emma 🎶

Musicology and European Studies student, and percussionist in the Sweelinck Orchestra.

From lectures to rehearsals to the stage. This is what studying and making music at the UvA looks like.

Want to hear the Sweelinck Orchestra live?
Join us for Tsjaikovski’s Vijfde met het Sweelinckorkest:
5 June, De Duif, Amsterdam
9 June, Het Concertgebouw, Amsterdam

On the programme:
Ish-Hurwitz, Fragmenten (world premiere)
Stravinsky, Divertimento ‘Le baiser de la fée’
Tchaikovsky, Symphony No. 5

Get your tickets now via sweelinckorkest.nl (link in bio and story).
👉 More info coming soon on student.uva.nl/events and on Instagram!"
"https://www.facebook.com/reel/2140687536711661/","🤝 How do you help others feel welcome at uni? Last year we took to campus to ask students how they create a friendly and inclusive environment for everyone. From small gestures like a smile to inviting new classmates to join a study group, every action counts! 🏫💙

Feeling welcome and respected is important for all of us. Want to know more about what you can do or where to turn if you experience undesirable behavior? Check out the page in the link in bio for support and advice."
"https://www.facebook.com/reel/1294331535421155/","a new perspective can enrich your life, be it professionally, motivationally, or contextually. 
a minor brings new perspectives. 
so, are you ready to live a richer life?
choose your minor before 6 May on uva.nl/minors (link in bio and story)

Have you checked out minors already?"
"https://www.facebook.com/reel/1294587949441314/","why and how choose a minor?
a minor can be a great way to explore a field that interests you or meet entrance requirements for a masters or whatever you want to do after graduation
start with what interests you, what skills you want to build, and what fits your future plans. 
there is a whole list of minors to explore
check UvA.nl/minors (link in bio and story)"
"https://www.facebook.com/reel/1263308965780610/","Hoe blijf je in gesprek - juíst als je het oneens bent? Mooie opkomst bij de eerste Vrijplaats voor Verschil, met o.a. @deeldeduif een initiatief van UvA-alumnus Boaz! Dank aan iedereen die er was en in gesprek ging met elkaar 🙏.

Deel De Duif deelde 3 tips voor een goede dialoog:

➡️Stel nieuwsgierige vragen
➡️Spreek vanuit jezelf
➡️Niemand claimt de waarheid

Vrijplaats voor Verschil creëert ruimte voor meerstemmigheid en wederzijds begrip binnen de UvA-gemeenschap. Op een laagdrempelige manier brengen we studenten met elkaar in gesprek over onderwerpen waar je het fundamenteel over oneens kunt zijn en tóch in gesprek blijft. 

Kijk voor meer info op uva.nl/vrijplaats"
"https://www.facebook.com/reel/914422361361660/","What would you change if you were in charge of the UvA?
 
We went around campus and asked students what changes they would make if they would be in charge.
 
But did you know that you can actually make a change at the UvA? By becoming a member of the student council, you can represent fellow students in important decisions and you can make in impact on subjects that are most important to you.
 
You can put yourself forward as a candidate here: https://edu.nl/u8fm9"
